Year,Date,Quarter,NetSales_Products,NetSales_Services,NetSales_Total,COG_Products,COG_Services,COG_Total,Gross_margin,OperatingExpase_RND,OperatingExpase_SGA,OperatingExpase_Total,Operating_income,Other_income_expanse,Income_before_provision_for_income_taxes,Provision_for_income_taxes,Net_income,Earnings_per_share_Basic,Earnings_per_share_Diluted,AssetsCurrent_Cash,AssetsCurrent_Marketable_securities,AssetsCurrent_Accounts_receivable,AssetsCurrent_Inventories,AssetsCurrent_non_trade_receivables,AssetsCurrent_Other,AssetsCurrent_Total,AssetsNC_Marketable_securities,AssetsNC_PPE,AssetsNC_Other,AssetsNC_Total,Assets_Total,LiabilitiesCurrent_Accounts payable,LiabilitiesCurrent_Other,LiabilitiesCurrent_Deferred_revenue,LiabilitiesCurrent_Commercial_paper,LiabilitiesCurrent_Term_debt,LiabilitiesCurrent_Total,LiabilitiesNC_Term_debt,LiabilitiesNC_Other,LiabilitiesNC_Total,Liabilities_Total,Shareholders_Equity_outstanding_respectively,Retained_earnings,Accumulated_other_comprehensive_income,Shareholders_Equity_Total,Total_liabilities_and_shareholders_equity,Stock_Price
2023,09/01/2023,4,67184,22314,89498,42586,6485,49071,40427,7307,6151,13458,26969,29,26998,4042,22956,1.47,1.47,29965,31590,29508,31477,6331,14695,143566,100544,43715,64758,209017,352583,62611,58829,8061,5985,9822,145308,95281,49848,145129,290437,73812,-214,-11452,62146,352583,338.11
2023,06/01/2023,3,60584,21213,81797,39136,6248,45384,36413,7442,5973,13415,22998,-265,22733,2852,19881,1.27,1.26,28408,34074,19549,7351,19637,13640,122659,104061,43550,64768,212379,335038,46699,58897,8158,3993,7216,124963,98071,51730,149801,274764,70667,1408,-11801,60274,335038,335.92
2023,04/01/2023,2,73929,20907,94836,46795,6065,52860,41976,7457,6201,13658,28318,64,28382,4222,24160,1.53,1.52,24687,31185,17936,7482,17963,13660,112913,110461,43398,65388,219247,332160,42945,56425,8131,1996,10578,120075,97041,52886,149927,270002,69568,4336,-11746,62158,332160,307.26
2022,12/01/2022,1,96388,20766,117154,60765,6057,66822,50332,7709,6607,14316,36016,-393,35623,5625,29998,1.89,1.88,20535,30820,23752,6820,30428,16422,128777,114095,42951,60924,217970,346747,57918,59893,7992,1743,9740,137286,99627,53107,152734,290020,66399,3240,-12912,56727,346747,247.81
2022,09/01/2022,4,70958,19188,90146,46387,5664,52051,38095,6761,6440,13201,24894,-237,24657,3936,20721,1.3,1.29,23646,24658,28184,4946,32748,21223,135405,120805,42117,54428,217350,352755,64115,60845,7912,9982,11128,153982,98959,49142,148101,302083,64849,-3068,-11109,50672,352755,232.13
2022,06/01/2022,3,63355,19604,82959,41485,5589,47074,35885,6797,6012,12809,23076,-10,23066,3624,19442,1.2,1.2,27502,20729,21803,5433,20439,16386,112292,131077,40335,52605,224017,336309,48343,48811,7728,10982,14009,129873,94700,53629,148329,278202,62115,5289,-9297,58107,336309,280.74
2022,03/01/2022,2,77457,19821,97278,49290,5429,54719,42559,6387,6193,12580,29979,160,30139,5129,25010,1.54,1.52,28098,23413,20815,5460,24585,15809,118180,141219,39304,51959,232482,350662,52682,50248,7920,6999,9659,127508,103323,52432,155755,283263,61181,12712,-6494,67399,350662,277.52
2021,12/01/2021,1,104429,19516,123945,64309,5393,69702,54243,6306,6449,12755,41488,-247,41241,6611,34630,2.11,2.1,37119,26794,30213,5876,35040,18112,153154,138683,39245,50109,228037,381191,74362,49167,7876,5000,11169,147574,106629,55056,161685,309259,58424,14435,-927,71932,381191,277.52
2021,09/01/2021,4,65083,18277,83360,42790,5396,48186,35174,5772,5616,11388,23786,-538,23248,2697,20551,1.25,1.23,34940,27699,26278,6580,25228,14111,134836,127877,39440,48849,216166,351002,54763,47493,7612,6000,9613,125481,109106,53325,162431,287912,57365,5562,163,63090,351002,331.62
2021,06/01/2021,3,63948,17486,81434,40899,5280,46179,35255,5717,5412,11129,24126,243,24369,2625,21744,1.31,1.3,34050,27646,17475,5178,16433,13641,114423,131948,38615,44854,215417,329840,40409,43625,7681,8000,8039,107754,105752,52054,157806,265560,54989,9233,58,64280,329840,284.91
