Date,Open,High,Low,Close,Volume
07/07/2025,"1,295.00","1,295.00","1,276.02","1,289.62","2,273,737"
07/03/2025,"1,292.00","1,302.26","1,279.76","1,297.18","2,006,224"
07/02/2025,"1,296.96","1,299.95","1,271.59","1,284.86","3,048,801"
07/01/2025,"1,338.23","1,338.77","1,282.22","1,293.60","4,993,567"
06/30/2025,"1,331.00","1,341.15","1,321.21","1,339.13","3,282,908"
06/27/2025,"1,306.88","1,331.35","1,301.00","1,323.12","4,070,857"
06/26/2025,"1,280.00","1,307.34","1,280.00","1,306.67","2,605,870"
06/25/2025,"1,286.84","1,298.00","1,273.81","1,275.25","2,146,510"
06/24/2025,"1,260.55","1,282.57","1,255.00","1,279.11","2,663,307"
06/23/2025,"1,238.03","1,254.84","1,215.01","1,253.54","2,667,318"
06/20/2025,"1,234.45","1,248.50","1,224.35","1,231.41","5,348,193"
06/18/2025,"1,229.99","1,242.00","1,220.50","1,222.29","2,281,047"
06/17/2025,"1,219.95","1,232.36","1,216.09","1,220.67","1,892,126"
06/16/2025,"1,212.20","1,226.25","1,212.20","1,225.35","2,112,797"
06/13/2025,"1,206.59","1,220.62","1,201.89","1,212.15","2,210,253"
06/12/2025,"1,222.59","1,230.00","1,211.97","1,215.03","2,084,602"
06/11/2025,"1,202.60","1,228.29","1,196.01","1,219.88","2,382,280"
06/10/2025,"1,227.52","1,227.52","1,180.61","1,203.62","4,454,447"
06/09/2025,"1,238.88","1,238.88","1,221.57","1,224.46","2,403,117"
06/06/2025,"1,259.41","1,260.00","1,235.55","1,241.48","2,556,956"
06/05/2025,"1,240.60","1,262.81","1,237.29","1,250.52","2,821,797"
06/04/2025,"1,220.74","1,242.56","1,219.88","1,239.66","2,359,381"
06/03/2025,"1,219.87","1,229.57","1,211.18","1,217.94","2,363,762"
06/02/2025,"1,201.20","1,219.40","1,196.25","1,218.98","2,294,216"
05/30/2025,"1,198.33","1,211.81","1,180.93","1,207.23","4,696,756"
05/29/2025,"1,208.00","1,209.00","1,176.28","1,184.86","3,303,079"
05/28/2025,"1,210.27","1,215.91","1,206.02","1,208.55","1,855,850"
05/27/2025,"1,195.33","1,211.77","1,193.09","1,211.57","2,920,469"
05/23/2025,"1,184.00","1,191.45","1,179.44","1,185.39","2,186,483"
05/22/2025,"1,192.40","1,198.75","1,187.21","1,187.97","1,861,588"
05/21/2025,"1,186.50","1,211.22","1,186.50","1,194.63","2,976,610"
05/20/2025,"1,186.79","1,193.00","1,179.02","1,192.02","2,133,066"
05/19/2025,"1,173.58","1,191.64","1,171.71","1,191.64","2,853,415"
05/16/2025,"1,193.14","1,196.50","1,179.39","1,191.53","4,698,353"
05/15/2025,"1,147.74","1,187.80","1,147.65","1,177.98","4,464,041"
05/14/2025,"1,129.60","1,152.90","1,128.40","1,150.99","3,910,147"
05/13/2025,"1,114.46","1,147.88","1,106.30","1,138.44","3,997,869"
05/12/2025,"1,124.26","1,130.00","1,102.93","1,110.00","6,479,079"
05/09/2025,"1,147.10","1,151.00","1,133.22","1,140.22","2,569,633"
05/08/2025,"1,161.62","1,162.29","1,139.20","1,144.43","3,760,872"
05/07/2025,"1,139.18","1,164.00","1,138.00","1,155.41","4,352,394"
05/06/2025,"1,129.43","1,147.66","1,126.40","1,137.69","3,256,682"
